"Week","Day","Rink","Time","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget","Midget",
"12w1gV2.06_"," "," "," ","Emperors","Emperors","Emperors","Emperors","Emperors","Saints","Saints","Saints","Saints","Saints","Flyers","Flyers","Flyers","Flyers","Flyers","Bears","Bears","Bears","Bears","Bears","Newcastle","Newcastle","Newcastle","Newcastle","Newcastle","Ice Caps","Ice Caps","Ice Caps","Ice Caps","Ice Caps",
" "," "," "," ","Saints","Flyers","Bears","Newcastle","Ice Caps","Emperors","Flyers","Bears","Newcastle","Ice Caps","Emperors","Saints","Bears","Newcastle","Ice Caps","Emperors","Saints","Flyers","Newcastle","Ice Caps","Emperors","Saints","Flyers","Bears","Ice Caps","Emperors","Saints","Flyers","Bears","Newcastle",
"5","SUN","PIP","18",0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"5","SUN","PIP","19",0,0,0,0,,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,,,,
"5","SUN","PIP","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5","SAT","MACQ","18",,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
"5","SAT","MACQ","19",,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
"5","SUN","MACQ","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5","SUN","MACQ","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5","SUN","MACQ","18",,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
"5","SUN","MACQ","19",,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
"5","SUN","LCC","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5","SUN","LCC","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5","SUN","LCC","10",0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
"5","SUN","LCC","17",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
"5","SUN","LCC","18",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
"5","SUN","LCC","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5","SAT","HISS","17",,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
"5","SAT","HISS","18",,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,,,,,,
"5","SUN","HISS","17",,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
"5","SUN","HISS","18",,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
"5","SAT","ACT","12",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
"5","SAT","ACT","16",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
"6","SAT","COIR","19",0,0,0,0,,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,,,,
"6","SAT","COIR","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","SUN","COIR","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","SUN","COIR","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","SUN","COIR","10",0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"6","SUN","COIR","18",0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"6","SUN","COIR","19",0,0,0,0,,,,,,,0,0,0,0,,0,0,0,0,,,,,,,,,,,,
"6","SUN","COIR","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","SAT","PIP","17",0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"6","SAT","PIP","18",0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"6","SAT","PIP","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","SUN","PIP","16",0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"6","SUN","PIP","18",0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"6","SUN","PIP","19",0,0,0,0,,,,,,,0,0,0,1,,0,0,0,0,,,,,,,,,,,,
"6","SUN","PIP","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","SAT","MACQ","18",,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
"6","SAT","MACQ","19",,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
"6","SUN","MACQ","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","SUN","MACQ","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","SUN","MACQ","18",,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,
"6","SUN","MACQ","19",,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
"6","SUN","LCC","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","SUN","LCC","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","SUN","LCC","10",0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
"6","SUN","LCC","17",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
"6","SUN","LCC","18",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
"6","SUN","LCC","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","SAT","HISS","17",,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
"6","SAT","HISS","18",,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
"6","SUN","HISS","17",,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
